150,(['C4', 'Pa', 'P3', 'T6', 'F4']),0.676300585269928
151,(['C4', 'Pa', 'P3', 'T6', 'T5']),0.6127167344093323
152,(['C4', 'Pa', 'P3', 'O2', 'Fp1']),0.8034682273864746
153,(['C4', 'Pa', 'P3', 'O2', 'Fp2']),0.7109826803207397
154,(['C4', 'Pa', 'P3', 'O2', 'F7']),0.6011560559272766
155,(['C4', 'Pa', 'P3', 'O2', 'F8']),0.6936416029930115
156,(['C4', 'Pa', 'P3', 'O2', 'Fz']),0.5549132823944092
157,(['C4', 'Pa', 'P3', 'O2', 'F3']),0.6647399067878723
158,(['C4', 'Pa', 'P3', 'O2', 'F4']),0.7167630195617676
159,(['C4', 'Pa', 'P3', 'O2', 'T5']),0.7225433588027954
160,(['C4', 'Pa', 'P3', 'O1', 'Fp1']),0.5375722646713257
161,(['C4', 'Pa', 'P3', 'O1', 'Fp2']),0.5144508481025696
162,(['C4', 'Pa', 'P3', 'O1', 'F7']),0.6300578117370605
163,(['C4', 'Pa', 'P3', 'O1', 'F8']),0.647398829460144
164,(['C4', 'Pa', 'P3', 'O1', 'Fz']),0.6127167344093323
165,(['C4', 'Pa', 'P3', 'O1', 'F3']),0.6069363951683044
166,(['C4', 'Pa', 'P3', 'O1', 'F4']),0.5664739608764648
167,(['C4', 'Pa', 'P3', 'O1', 'T5']),0.41040462255477905
168,(['C4', 'Pa', 'T3', 'T4', 'Fp1']),0.647398829460144
169,(['C4', 'Pa', 'T3', 'T4', 'Fp2']),0.6416184902191162
170,(['C4', 'Pa', 'T3', 'T4', 'F7']),0.7861271500587463
171,(['C4', 'Pa', 'T3', 'T4', 'F8']),0.7341040372848511
172,(['C4', 'Pa', 'T3', 'T4', 'Fz']),0.6242774724960327
173,(['C4', 'Pa', 'T3', 'T4', 'F3']),0.6705202460289001
174,(['C4', 'Pa', 'T3', 'T4', 'F4']),0.52601158618927
175,(['C4', 'Pa', 'T3', 'T4', 'T5']),0.6647399067878723
176,(['C4', 'Pa', 'T3', 'Pz', 'Fp1']),0.5549132823944092
177,(['C4', 'Pa', 'T3', 'Pz', 'Fp2']),0.676300585269928
178,(['C4', 'Pa', 'T3', 'Pz', 'F7']),0.4971098303794861
179,(['C4', 'Pa', 'T3', 'Pz', 'F8']),0.6069363951683044
180,(['C4', 'Pa', 'T3', 'Pz', 'Fz']),0.5028901696205139
181,(['C4', 'Pa', 'T3', 'Pz', 'F3']),0.6242774724960327
182,(['C4', 'Pa', 'T3', 'Pz', 'F4']),0.6358381509780884
183,(['C4', 'Pa', 'T3', 'Pz', 'T5']),0.5722543597221375
184,(['C4', 'Pa', 'T3', 'T6', 'Fp1']),0.5317919254302979
185,(['C4', 'Pa', 'T3', 'T6', 'Fp2']),0.7976878881454468
186,(['C4', 'Pa', 'T3', 'T6', 'F7']),0.7225433588027954
187,(['C4', 'Pa', 'T3', 'T6', 'F8']),0.5838150382041931
188,(['C4', 'Pa', 'T3', 'T6', 'Fz']),0.6416184902191162
189,(['C4', 'Pa', 'T3', 'T6', 'F3']),0.6184971332550049
190,(['C4', 'Pa', 'T3', 'T6', 'F4']),0.7052023410797119
191,(['C4', 'Pa', 'T3', 'T6', 'T5']),0.6358381509780884
192,(['C4', 'Pa', 'T3', 'O2', 'Fp1']),0.6705202460289001
193,(['C4', 'Pa', 'T3', 'O2', 'Fp2']),0.7745664715766907
194,(['C4', 'Pa', 'T3', 'O2', 'F7']),0.5838150382041931
195,(['C4', 'Pa', 'T3', 'O2', 'F8']),0.589595377445221
196,(['C4', 'Pa', 'T3', 'O2', 'Fz']),0.47398844361305237
197,(['C4', 'Pa', 'T3', 'O2', 'F3']),0.560693621635437
198,(['C4', 'Pa', 'T3', 'O2', 'F4']),0.6589595079421997
199,(['C4', 'Pa', 'T3', 'O2', 'T5']),0.7572254538536072
200,(['C4', 'Pa', 'T3', 'O1', 'Fp1']),0.6416184902191162
201,(['C4', 'Pa', 'T3', 'O1', 'Fp2']),0.5202311873435974
202,(['C4', 'Pa', 'T3', 'O1', 'F7']),0.647398829460144
203,(['C4', 'Pa', 'T3', 'O1', 'F8']),0.5317919254302979
204,(['C4', 'Pa', 'T3', 'O1', 'Fz']),0.39306357502937317
205,(['C4', 'Pa', 'T3', 'O1', 'F3']),0.5202311873435974
206,(['C4', 'Pa', 'T3', 'O1', 'F4']),0.6589595079421997
207,(['C4', 'Pa', 'T3', 'O1', 'T5']),0.5433526039123535
208,(['C4', 'Pa', 'T4', 'Pz', 'Fp1']),0.6416184902191162
209,(['C4', 'Pa', 'T4', 'Pz', 'Fp2']),0.7225433588027954
210,(['C4', 'Pa', 'T4', 'Pz', 'F7']),0.4797687828540802
211,(['C4', 'Pa', 'T4', 'Pz', 'F8']),0.6069363951683044
212,(['C4', 'Pa', 'T4', 'Pz', 'Fz']),0.7283236980438232
213,(['C4', 'Pa', 'T4', 'Pz', 'F3']),0.5549132823944092
214,(['C4', 'Pa', 'T4', 'Pz', 'F4']),0.6300578117370605
215,(['C4', 'Pa', 'T4', 'Pz', 'T5']),0.6069363951683044
216,(['C4', 'Pa', 'T4', 'T6', 'Fp1']),0.6416184902191162
217,(['C4', 'Pa', 'T4', 'T6', 'Fp2']),0.884393036365509
218,(['C4', 'Pa', 'T4', 'T6', 'F7']),0.7398843765258789
219,(['C4', 'Pa', 'T4', 'T6', 'F8']),0.7283236980438232
220,(['C4', 'Pa', 'T4', 'T6', 'Fz']),0.6820809245109558
221,(['C4', 'Pa', 'T4', 'T6', 'F3']),0.6936416029930115
222,(['C4', 'Pa', 'T4', 'T6', 'F4']),0.5144508481025696
223,(['C4', 'Pa', 'T4', 'T6', 'T5']),0.7803468108177185
224,(['C4', 'Pa', 'T4', 'O2', 'Fp1']),0.7572254538536072
225,(['C4', 'Pa', 'T4', 'O2', 'Fp2']),0.7167630195617676
226,(['C4', 'Pa', 'T4', 'O2', 'F7']),0.7514451146125793
227,(['C4', 'Pa', 'T4', 'O2', 'F8']),0.7052023410797119
228,(['C4', 'Pa', 'T4', 'O2', 'Fz']),0.7919074892997742
229,(['C4', 'Pa', 'T4', 'O2', 'F3']),0.5202311873435974
230,(['C4', 'Pa', 'T4', 'O2', 'F4']),0.7225433588027954
231,(['C4', 'Pa', 'T4', 'O2', 'T5']),0.6127167344093323
232,(['C4', 'Pa', 'T4', 'O1', 'Fp1']),0.647398829460144
233,(['C4', 'Pa', 'T4', 'O1', 'Fp2']),0.7167630195617676
234,(['C4', 'Pa', 'T4', 'O1', 'F7']),0.6358381509780884
235,(['C4', 'Pa', 'T4', 'O1', 'F8']),0.6531791687011719
236,(['C4', 'Pa', 'T4', 'O1', 'Fz']),0.6011560559272766
237,(['C4', 'Pa', 'T4', 'O1', 'F3']),0.589595377445221
238,(['C4', 'Pa', 'T4', 'O1', 'F4']),0.7283236980438232
239,(['C4', 'Pa', 'T4', 'O1', 'T5']),0.5780346989631653
240,(['C4', 'Pa', 'Pz', 'T6', 'Fp1']),0.676300585269928
241,(['C4', 'Pa', 'Pz', 'T6', 'Fp2']),0.6358381509780884
242,(['C4', 'Pa', 'Pz', 'T6', 'F7']),0.38728323578834534
243,(['C4', 'Pa', 'Pz', 'T6', 'F8']),0.6069363951683044
244,(['C4', 'Pa', 'Pz', 'T6', 'Fz']),0.6011560559272766
245,(['C4', 'Pa', 'Pz', 'T6', 'F3']),0.5780346989631653
246,(['C4', 'Pa', 'Pz', 'T6', 'F4']),0.6300578117370605
247,(['C4', 'Pa', 'Pz', 'T6', 'T5']),0.6416184902191162
248,(['C4', 'Pa', 'Pz', 'O2', 'Fp1']),0.676300585269928
249,(['C4', 'Pa', 'Pz', 'O2', 'Fp2']),0.6994219422340393
250,(['C4', 'Pa', 'Pz', 'O2', 'F7']),0.5433526039123535
251,(['C4', 'Pa', 'Pz', 'O2', 'F8']),0.8092485666275024
252,(['C4', 'Pa', 'Pz', 'O2', 'Fz']),0.49132949113845825
253,(['C4', 'Pa', 'Pz', 'O2', 'F3']),0.6358381509780884
254,(['C4', 'Pa', 'Pz', 'O2', 'F4']),0.647398829460144
255,(['C4', 'Pa', 'Pz', 'O2', 'T5']),0.7341040372848511
256,(['C4', 'Pa', 'Pz', 'O1', 'Fp1']),0.3815028965473175
257,(['C4', 'Pa', 'Pz', 'O1', 'Fp2']),0.6531791687011719
258,(['C4', 'Pa', 'Pz', 'O1', 'F7']),0.5722543597221375
259,(['C4', 'Pa', 'Pz', 'O1', 'F8']),0.6127167344093323
260,(['C4', 'Pa', 'Pz', 'O1', 'Fz']),0.52601158618927
261,(['C4', 'Pa', 'Pz', 'O1', 'F3']),0.5144508481025696
262,(['C4', 'Pa', 'Pz', 'O1', 'F4']),0.6011560559272766
263,(['C4', 'Pa', 'Pz', 'O1', 'T5']),0.6069363951683044
264,(['C4', 'Pa', 'T6', 'O2', 'Fp1']),0.6820809245109558
265,(['C4', 'Pa', 'T6', 'O2', 'Fp2']),0.7398843765258789
266,(['C4', 'Pa', 'T6', 'O2', 'F7']),0.6358381509780884
267,(['C4', 'Pa', 'T6', 'O2', 'F8']),0.6242774724960327
268,(['C4', 'Pa', 'T6', 'O2', 'Fz']),0.589595377445221
269,(['C4', 'Pa', 'T6', 'O2', 'F3']),0.7976878881454468
270,(['C4', 'Pa', 'T6', 'O2', 'F4']),0.7514451146125793
271,(['C4', 'Pa', 'T6', 'O2', 'T5']),0.560693621635437
272,(['C4', 'Pa', 'T6', 'O1', 'Fp1']),0.5549132823944092
273,(['C4', 'Pa', 'T6', 'O1', 'Fp2']),0.7283236980438232
274,(['C4', 'Pa', 'T6', 'O1', 'F7']),0.5780346989631653
275,(['C4', 'Pa', 'T6', 'O1', 'F8']),0.6069363951683044
276,(['C4', 'Pa', 'T6', 'O1', 'Fz']),0.5202311873435974
277,(['C4', 'Pa', 'T6', 'O1', 'F3']),0.560693621635437
278,(['C4', 'Pa', 'T6', 'O1', 'F4']),0.647398829460144
279,(['C4', 'Pa', 'T6', 'O1', 'T5']),0.7225433588027954
280,(['C4', 'Pa', 'O2', 'O1', 'Fp1']),0.763005793094635
281,(['C4', 'Pa', 'O2', 'O1', 'Fp2']),0.7283236980438232
282,(['C4', 'Pa', 'O2', 'O1', 'F7']),0.6416184902191162
283,(['C4', 'Pa', 'O2', 'O1', 'F8']),0.6242774724960327
284,(['C4', 'Pa', 'O2', 'O1', 'Fz']),0.6936416029930115
285,(['C4', 'Pa', 'O2', 'O1', 'F3']),0.6416184902191162
286,(['C4', 'Pa', 'O2', 'O1', 'F4']),0.6011560559272766
287,(['C4', 'Pa', 'O2', 'O1', 'T5']),0.676300585269928
288,(['C4', 'Cz', 'C3', 'P3', 'Fp1']),0.560693621635437
289,(['C4', 'Cz', 'C3', 'P3', 'Fp2']),0.7341040372848511
290,(['C4', 'Cz', 'C3', 'P3', 'F7']),0.6242774724960327
291,(['C4', 'Cz', 'C3', 'P3', 'F8']),0.6936416029930115
292,(['C4', 'Cz', 'C3', 'P3', 'Fz']),0.6300578117370605
293,(['C4', 'Cz', 'C3', 'P3', 'F3']),0.6994219422340393
294,(['C4', 'Cz', 'C3', 'P3', 'F4']),0.6011560559272766
295,(['C4', 'Cz', 'C3', 'P3', 'T5']),0.5664739608764648
296,(['C4', 'Cz', 'C3', 'T3', 'Fp1']),0.43352600932121277
297,(['C4', 'Cz', 'C3', 'T3', 'Fp2']),0.6589595079421997
298,(['C4', 'Cz', 'C3', 'T3', 'F7']),0.5433526039123535
299,(['C4', 'Cz', 'C3', 'T3', 'F8']),0.6820809245109558
300,(['C4', 'Cz', 'C3', 'T3', 'Fz']),0.5664739608764648
301,(['C4', 'Cz', 'C3', 'T3', 'F3']),0.6242774724960327
302,(['C4', 'Cz', 'C3', 'T3', 'F4']),0.6994219422340393
303,(['C4', 'Cz', 'C3', 'T3', 'T5']),0.48554912209510803
304,(['C4', 'Cz', 'C3', 'T4', 'Fp1']),0.5491329431533813
305,(['C4', 'Cz', 'C3', 'T4', 'Fp2']),0.49132949113845825
306,(['C4', 'Cz', 'C3', 'T4', 'F7']),0.6820809245109558
307,(['C4', 'Cz', 'C3', 'T4', 'F8']),0.5838150382041931
308,(['C4', 'Cz', 'C3', 'T4', 'Fz']),0.6242774724960327
309,(['C4', 'Cz', 'C3', 'T4', 'F3']),0.45086705684661865
310,(['C4', 'Cz', 'C3', 'T4', 'F4']),0.5838150382041931
311,(['C4', 'Cz', 'C3', 'T4', 'T5']),0.6647399067878723
312,(['C4', 'Cz', 'C3', 'Pz', 'Fp1']),0.5722543597221375
313,(['C4', 'Cz', 'C3', 'Pz', 'Fp2']),0.5722543597221375
314,(['C4', 'Cz', 'C3', 'Pz', 'F7']),0.4450867176055908
315,(['C4', 'Cz', 'C3', 'Pz', 'F8']),0.560693621635437
316,(['C4', 'Cz', 'C3', 'Pz', 'Fz']),0.5722543597221375
317,(['C4', 'Cz', 'C3', 'Pz', 'F3']),0.5202311873435974
318,(['C4', 'Cz', 'C3', 'Pz', 'F4']),0.6069363951683044
319,(['C4', 'Cz', 'C3', 'Pz', 'T5']),0.5028901696205139
320,(['C4', 'Cz', 'C3', 'T6', 'Fp1']),0.6127167344093323
